num,raw_text
1,"A method of visual media processing includes determining a size of a buffer to store reference samples for prediction in an intra block copy mode; and performing a conversion between a current video block of visual media data and a bitstream representation of the current video block, using the reference samples stored in the buffer, wherein the conversion is performed in the intra block copy mode which is based on motion information related to a reconstructed block located in same video region with the current video block without referring to a reference picture."
2,"An example device for decoding video data includes a video decoder configured to decode one or more syntax elements at a region-tree level of a region-tree of a tree data structure for a coding tree block (CTB) of video data, the region-tree having one or more region-tree nodes including region-tree leaf and non-leaf nodes, each of the region-tree non-leaf nodes having at least four child region-tree nodes, decode one or more syntax elements at a prediction-tree level for each of the region-tree leaf nodes of one or more prediction trees of the tree data structure for the CTB, the prediction trees each having one or more prediction-tree leaf and non-leaf nodes, each of the prediction-tree non-leaf nodes having at least two child prediction-tree nodes, each of the prediction leaf nodes defining respective coding units (CUs), and decode video data for each of the CUs."
3,"A method and system for video system using coding modes including an Inter prediction mode and an Intra Block Copy (IntraBC) mode are disclosed. A syntax element in a bitstream is determined to indicate whether two versions of a reconstructed current image unit are needed. If two versions of the reconstructed current image unit are needed, a loop-filtered version of the reconstructed current image unit and a non-loop-filter version of the reconstructed current image unit are allowed to be stored and used as reference data. Otherwise, only one version of the reconstructed current image unit is stored as the reference data. According to another method, bi-prediction mode is converted to uni-prediction mode for a certain prediction mode, where the bandwidth exceeds the existing worst case."
4,"A video coding device generates first and second components of a current picture. Additionally, the video coding device determines a first parameter and a second parameter. The first and second parameters are each based on a value of a current sample in the first component. The video coding device applies a cross-component filter to the current sample, thereby determining a filtered value of the current sample based on the first parameter, the second parameter, and one or more cross-component samples. Each of the one or more cross-component samples is in the second component."
5,"In one example, a video decoder is configured to store an adaptation parameter set (APS) data structure in a buffer of a coding device, wherein the APS data structure includes signaling data applicable to one or more slices of video data, decode at least one of the slices based on the signaling data of the APS data structure, after decoding the slice, determine that the APS data structure can be removed from the buffer, remove the APS data structure from the buffer based on the determination, and decode one or more additional slices of the video data after removing the APS data structure from the buffer."
6,"An apparatus and method for sample adaptive offset to restore intensity shift of processed video data are described. In a video coding system, the video data are subject to various processing such as prediction, transformation, quantization, deblocking, and adaptive loop filtering. Along the processing path in the video coding system, certain characteristics of the processed video data may be altered from the original video data due to the operations applied to video data. For example, the mean value of the processed video may be shifted. Therefore, the pixel intensity shift has to be carefully compensated or restored to alleviate the artifacts. Accordingly a sample adaptive offset scheme is disclosed that can take into consideration of the dynamic characteristics within a frame using a region partition scheme. Furthermore, the sample adaptive offset scheme also supports multiple SAO types that can be tailored to the characteristics of processed video data and achieve better quality."
7,"A method for signaling sample adaptive offset (SAO) band offset syntax elements in a video encoder is provided that includes receiving a plurality of band offset syntax elements, entropy encoding an absolute value of a magnitude of each band offset syntax element in a compressed video bit stream, and entropy encoding a sign of each non-zero band offset syntax element in the compressed video bit stream following the absolute values of the magnitudes."
8,"A method and apparatus for sharing information in a video coding system are disclosed. Embodiments according to the present invention use an information sharing flag to determine whether to share in-loop filter information in the picture level. The information sharing flag may be incorporated in the sequence level, the picture level or the slice level to indicate whether information sharing is enabled. Multiple information sharing flags may also be used to adaptively control information sharing. Furthermore, method and apparatus of using multiple Adaptation Parameter Sets (APSs) for information sharing of in-loop filters are disclosed. APS identifiers of in-loop filters may be incorporated in the slice header to allow each of the in-loop filters select respective filter information from the multiple APSs. A flag is incorporated in SPS to indicate whether multiple APS or single APS is used. Various exemplary syntax designs are disclosed to illustrate information sharing."
9,"In a block-based motion compensated system, coding noises may arise due to lossy operations. Adaptive loop filter (ALF) is a technique used to improve the quality. A pixel adaptive (PA) ALF method was developed that uses the Sum-modified Laplacian Measure (SLM) to classify pixels and applies a respective ALF filter to each pixel according to the SLM. While the PA ALF achieves better performance over a conventional single filter (SF) based ALF, the PA ALF causes higher complexity and consumes more power due to the high complexity and per-pixel filter switching. Accordingly region based ALF scheme is disclosed which allows adaptive filter selection on a region by region basis and does not require per-pixel filter switching. In one embodiment according to the present invention, a picture is divided into M×N regions. The region based ALF also allows region merging for the M×N regions to improve performance. In another aspect of the present invention, the optimal ALF design also takes into consideration of the system complexity by using rate-distortion-complexity optimization (RDCO). The RDCO technique is also applied to sample adaptive offset (SAO) design."
10,"A cell cultivation apparatus for cultivating microorganisms and growing cells at high density is provided. The apparatus includes a membrane comprising multiple surface features on a first side of the membrane for cell placement. The surface features comprising one or more compartments within which a cell can be located. The membrane includes a material that is at least partially permeable to gas. A second side of the membrane defines a gas region. The second side of the membrane is separated from the first side of the membrane by the membrane. The apparatus further includes a media region for receiving media. The compartments are configured to at least partially reduce media flow shear forces on one or more cells in the compartments. The surface features may be ridges, protrusions, fins, wells, and/or posts."
11,"This disclosure describes apparatus, systems, methods, kits, and compositions for spatial analysis of biological samples. In particular, the present disclosure provides for spatial profiling of a biological analyte present in a cell-containing biological sample."
12,"A method and system for video system using coding modes including an Inter prediction mode and an Intra Block Copy (IntraBC) mode are disclosed. A syntax element in a bitstream is determined to indicate whether two versions of a reconstructed current image unit are needed. If two versions of the reconstructed current image unit are needed, a loop-filtered version of the reconstructed current image unit and a non-loop-filter version of the reconstructed current image unit are allowed to be stored and used as reference data. Otherwise, only one version of the reconstructed current image unit is stored as the reference data. According to another method, bi-prediction mode is converted to uni-prediction mode for a certain prediction mode, where the bandwidth exceeds the existing worst case."
13,"An example device for decoding video data includes a video decoder configured to decode one or more syntax elements at a region-tree level of a region-tree of a tree data structure for a coding tree block (CTB) of video data, the region-tree having one or more region-tree nodes including region-tree leaf and non-leaf nodes, each of the region-tree non-leaf nodes having at least four child region-tree nodes, decode one or more syntax elements at a prediction-tree level for each of the region-tree leaf nodes of one or more prediction trees of the tree data structure for the CTB, the prediction trees each having one or more prediction-tree leaf and non-leaf nodes, each of the prediction-tree non-leaf nodes having at least two child prediction-tree nodes, each of the prediction leaf nodes defining respective coding units (CUs), and decode video data for each of the CUs."
14,"A method for signaling sample adaptive offset (SAO) band offset syntax elements in a video encoder is provided that includes receiving a plurality of band offset syntax elements, entropy encoding an absolute value of a magnitude of each band offset syntax element in a compressed video bit stream, and entropy encoding a sign of each non-zero band offset syntax element in the compressed video bit stream following the absolute values of the magnitudes."
15,"In one example, a video decoder is configured to store an adaptation parameter set (APS) data structure in a buffer of a coding device, wherein the APS data structure includes signaling data applicable to one or more slices of video data, decode at least one of the slices based on the signaling data of the APS data structure, after decoding the slice, determine that the APS data structure can be removed from the buffer, remove the APS data structure from the buffer based on the determination, and decode one or more additional slices of the video data after removing the APS data structure from the buffer."
